# core_level: C 1s
# photon_energy: 1486.6
binding_energy_eV,intensity
288.9138,181.6006
288.9339,207.1019
288.9539,226.7528
288.9739,179.2761
288.9940,236.3733
289.0140,210.1505
289.0341,215.6362
289.0541,183.2078
289.0741,206.8337
289.0942,207.8771
289.1142,187.1397
289.1343,183.1770
289.1543,179.9416
289.1743,153.3588
289.1944,163.8173
289.2144,159.9159
289.2345,166.8942
289.2545,175.5487
289.2745,130.7774
289.2946,145.9176
289.3146,174.5936
289.3347,126.7195
289.3547,121.8555
289.3747,139.1405
289.3948,148.8625
289.4148,129.1718
289.4349,152.5801
289.4549,140.2842
289.4749,137.2227
289.4950,128.7973
289.5150,161.6874
289.5351,108.5408
289.5551,70.1730
289.5752,140.0170
289.5952,96.5543
289.6152,105.7292
289.6353,127.7113
289.6553,67.5077
289.6754,72.6348
289.6954,63.8374
289.7154,78.2540
289.7355,101.2796
289.7555,101.3951
289.7756,94.9335
289.7956,59.7192
289.8156,40.4065
289.8357,86.3950
289.8557,74.6346
289.8758,92.0805
289.8958,95.8127
289.9158,83.4750
289.9359,94.9028
289.9559,83.3255
289.9760,88.4325
289.9960,62.8742
290.0160,72.5562
290.0361,79.3069
290.0561,91.0451
290.0762,66.0608
290.0962,83.6961
290.1162,67.3272
290.1363,69.6967
290.1563,88.0720
290.1764,31.0832
290.1964,44.5050
290.2164,40.3062
290.2365,22.8172
290.2565,55.4865
290.2766,83.6239
290.2966,62.5410
290.3166,71.8167
290.3367,89.2851
290.3567,93.7107
290.3768,65.4459
290.3968,93.5866
290.4168,68.0571
290.4369,49.1790
290.4569,53.7633
290.4770,35.7759
290.4970,47.3698
290.5170,57.7277
290.5371,80.7244
290.5571,98.8413
290.5772,36.5635
290.5972,71.8524
290.6172,42.9807
290.6373,73.0879
290.6573,60.7809
290.6774,26.5989
290.6974,81.6029
290.7174,50.7620
290.7375,52.0140
290.7575,41.1315
290.7776,49.2798
290.7976,70.7663
290.8176,58.2705
290.8377,68.4793
290.8577,68.9986
290.8778,88.0309
290.8978,54.6226
290.9178,31.8049
290.9379,82.5531
290.9579,54.4483
290.9780,83.2420
290.9980,68.4923
291.0180,58.0790
291.0381,67.5567
291.0581,99.4831
291.0782,101.8864
291.0982,61.6204
291.1182,63.3246
291.1383,81.5356
291.1583,42.9895
291.1784,66.4579
291.1984,59.1748
291.2184,65.8675
291.2385,42.8210
291.2585,27.5977
291.2786,17.8317
291.2986,36.8476
291.3186,49.9271
291.3387,53.1437
291.3587,97.6604
291.3788,80.9454
291.3988,39.4949
291.4188,65.6034
291.4389,50.4214
291.4589,52.7908
291.4790,62.1010
291.4990,70.6955
291.5190,51.4458
291.5391,79.4280
291.5591,35.2334
291.5792,58.1212
291.5992,109.8714
291.6192,62.3040
291.6393,86.4323
291.6593,59.5251
291.6794,69.2379
291.6994,56.4154
291.7194,54.0726
291.7395,41.8218
291.7595,65.9491
291.7796,40.2449
291.7996,70.5208
291.8196,78.8492
291.8397,64.4094
291.8597,51.2899
291.8798,66.0312
291.8998,50.7163
291.9198,75.5393
291.9399,20.1398
291.9599,49.9960
291.9800,16.8330
292.0000,26.6898
